ds,Y
12/24/2020,32102.94141
12/25/2020,32879.05859
12/28/2020,33478.78125
12/29/2020,34113.78516
12/30/2020,33902.11719
12/31/2020,33796.28516
1/4/2021,34043.23047
1/5/2021,33796.28516
1/6/2021,34431.28906
1/7/2021,34501.84375
1/8/2021,34219.62109
1/11/2021,34043.23047
1/12/2021,34396.00781
1/13/2021,34184.33984
1/14/2021,34466.56641
1/15/2021,34466.56641
1/18/2021,34325.45313
1/19/2021,31926.55273
1/20/2021,32102.94141
1/21/2021,32808.5
1/22/2021,31926.55273
1/25/2021,31467.93945
1/26/2021,30021.54297
1/27/2021,29139.59375
1/28/2021,27128.75
1/29/2021,28151.81055
2/1/2021,27587.36328
2/2/2021,27763.75391
2/3/2021,29174.87109
2/4/2021,29280.70508
2/5/2021,29492.37305
2/8/2021,28292.92188
2/9/2021,28786.81445
2/17/2021,29704.04102
2/18/2021,30621.26758
2/19/2021,31115.16016
2/22/2021,30868.21289
2/23/2021,31044.60352
2/24/2021,30374.32227
2/25/2021,30303.76563
2/26/2021,30762.37891
3/1/2021,31115.16016
3/2/2021,31079.88086
3/3/2021,30903.49219
3/4/2021,30162.6543
3/5/2021,29915.70898
3/8/2021,29950.98633
3/9/2021,29527.65039
3/10/2021,29633.48438
3/11/2021,30550.71289
3/12/2021,30585.99023
3/15/2021,30339.04492
3/16/2021,29915.70898
3/17/2021,30550.71289
3/18/2021,31750.16211
3/19/2021,31750.16211
3/22/2021,31503.2168
3/23/2021,30832.93555
3/24/2021,29739.31836
3/25/2021,29809.875
3/26/2021,29704.04102
3/29/2021,30021.54297
3/30/2021,30233.21094
3/31/2021,30303.76563
4/1/2021,31009.32617
4/2/2021,31750.16211
4/5/2021,32138.2207
4/6/2021,32279.33203
4/7/2021,32138.2207
4/8/2021,31609.05078
4/9/2021,31256.27148
4/12/2021,31573.77344
4/13/2021,30797.6582
4/14/2021,31044.60352
4/15/2021,30374.32227
4/16/2021,29633.48438
4/19/2021,30339.04492
4/20/2021,30480.15625
4/22/2021,28927.92578
4/23/2021,29633.48438
4/26/2021,28575.14648
4/27/2021,28469.3125
4/28/2021,28645.70313
4/29/2021,28927.92578
5/4/2021,29139.59375
5/5/2021,29562.92969
5/6/2021,29104.31641
5/7/2021,28680.98047
5/10/2021,29210.15039
5/11/2021,29704.04102
5/12/2021,30092.09766
5/13/2021,30056.82031
5/14/2021,29880.43164
5/17/2021,29492.37305
5/18/2021,28857.36914
5/19/2021,28857.36914
5/20/2021,29527.65039
5/21/2021,31573.77344
5/24/2021,32455.72266
5/25/2021,32949.61328
5/26/2021,32914.33594
5/27/2021,32032.38672
5/28/2021,33267.11328
5/31/2021,34360.73047
6/1/2021,33866.83984
6/2/2021,33443.50391
6/3/2021,34431.28906
6/4/2021,34572.39844
6/7/2021,33020.16797
6/8/2021,31609.05078
6/9/2021,32067.66406
6/10/2021,30974.04688
6/11/2021,31891.27539
6/14/2021,31679.60742
6/15/2021,31679.60742
6/16/2021,31961.83008
6/17/2021,32385.16602
6/18/2021,32561.55664
6/21/2021,31750.16211
6/22/2021,31750.16211
6/23/2021,32032.38672
6/24/2021,31891.27539
6/25/2021,32138.2207
6/28/2021,33090.72656
6/29/2021,33090.72656
6/30/2021,33337.67188
7/1/2021,33372.94922
7/2/2021,33196.55859
7/5/2021,32914.33594
7/6/2021,31044.60352
7/7/2021,32102.94141
7/8/2021,32314.60938
7/9/2021,31679.60742
7/12/2021,29633.48438
7/13/2021,29915.70898
7/14/2021,30056.82031
7/15/2021,30127.37695
7/16/2021,29986.26563
7/19/2021,27975.42188
7/20/2021,28927.92578
7/21/2021,28716.25781
7/22/2021,28927.92578
7/23/2021,28363.47852
7/26/2021,28222.36719
7/27/2021,28363.47852
7/28/2021,28575.14648
7/29/2021,28927.92578
7/30/2021,28998.48242
8/2/2021,30021.54297
8/3/2021,30585.99023
8/4/2021,30339.04492
8/5/2021,30303.76563
8/6/2021,30268.48828
8/9/2021,30444.87891
8/10/2021,30550.71289
8/11/2021,30409.59961
8/12/2021,30197.93164
8/13/2021,30021.54297
8/16/2021,30550.71289
8/17/2021,30303.76563
8/18/2021,30092.09766
8/19/2021,29986.26563
8/20/2021,28575.14648
8/23/2021,27728.47461
8/24/2021,27799.03125
8/25/2021,27834.30859
8/26/2021,27234.58398
8/27/2021,27305.14063
8/30/2021,27834.30859
8/31/2021,27481.5293
9/1/2021,27516.80859
9/6/2021,27587.36328
9/7/2021,28010.69922
9/8/2021,27940.14258
9/9/2021,28081.25586
9/10/2021,27975.42188
9/13/2021,27622.64063
9/14/2021,27305.14063
9/15/2021,27375.69531
9/16/2021,27799.03125
9/17/2021,28222.36719
9/20/2021,28151.81055
9/21/2021,27975.42188
9/22/2021,27940.14258
9/23/2021,27834.30859
9/24/2021,28010.69922
9/27/2021,27799.03125
9/28/2021,28292.92188
9/29/2021,28151.81055
